# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
2000.2000 M26 546679 1 203.2000 p31 p56 296 N p31->p56
2192.2000 M28 627290 1 254.2000 p41 p15 295 N p41->p15
2283.2000 M18 640222 1 1040.2000 p26 p75 282 N p26->p75
2299.2000 M31 948641 1 146.2000 p29 p1 297 N p29->p1
2605.3000 M37 737538 1 33.3000 p16 p84 299 N p16->p84
2632.5000 M29 639593 1 620.5000 p70 p61 289 N p70->p61
3127.4000 M22 854050 1 1607.4000 p24 p45 273 N p24->p45
3601.8000 M16 875016 1 2497.8000 p85 p45 258 N p85->p45
4219.0000 M52 891919 1 579.0000 p74 p24 290 N p74->p24
4221.4000 M47 734776 1 930.4000 p8 p62 284 N p8->p62
4710.4000 M38 698725 1 2069.4000 p72 p82 265 N p72->p82
4880.5000 M33 729461 1 2584.5000 p10 p87 256 N p10->p87
4976.4000 M20 773543 1 3594.4000 p32 p63 240 N p32->p63
5099.9000 M61 640531 1 831.9000 p9 p87 286 N p9->p87
5387.7000 M40 572441 1 2603.7000 p65 p40 256 N p65->p40
5391.5000 M30 678625 1 3310.5000 p30 p51 244 N p30->p51
5509.9000 M53 883685 1 1803.9000 p77 p22 269 N p77->p22
5563.9000 M21 519301 1 4114.9000 p69 p93 231 N p69->p93
5663.9000 M64 679024 2 1186.9000 p94 p70 280 N p94->p79->p70
5738.6000 M77 598670 1 358.6000 p87 p79 294 N p87->p79
5754.9000 M59 720977 4 1625.9000 p20 p70 272 N p20->p67->p56->p11->p70
5877.4000 M58 837610 2 1818.4000 p85 p12 269 N p85->p79->p12
5882.6000 M19 580040 3 4565.6000 p47 p16 223 N p47->p62->p25->p16
6165.3000 M62 745934 2 1828.3000 p48 p94 269 N p48->p95->p94
6185.0000 M27 707738 4 4320.0000 p26 p41 227 N p26->p6->p21->p75->p41
6201.1000 M50 976458 2 2703.1000 p13 p42 254 N p13->p49->p42
6212.8000 M15 991397 1 5181.8000 p88 p83 213 N p88->p83
6214.9000 M36 612761 3 3714.9000 p38 p91 238 N p38->p79->p12->p91
6257.5000 M42 889225 2 3328.5000 p84 p36 244 N p84->p13->p36
6272.8000 M60 686270 2 2069.8000 p17 p46 265 N p17->p78->p46
6279.7000 M72 625366 2 1245.7000 p13 p45 279 N p13->p84->p45
6281.2000 M17 790517 1 5103.2000 p86 p25 214 N p86->p25
6305.9000 M75 838158 4 1064.9000 p36 p56 282 N p36->p94->p54->p22->p56
6330.2000 M69 580609 6 1509.2000 p67 p14 274 N p67->p57->p56->p22->p70->p25->p14
6377.3000 M84 745447 1 513.3000 p52 p71 291 N p52->p71
6385.5000 M63 895682 2 1975.5000 p10 p73 267 N p10->p74->p73
6406.6000 M79 884910 1 882.6000 p37 p84 285 N p37->p84
6422.6000 M80 626408 2 833.6000 p54 p8 286 N p54->p81->p8
6449.5000 M65 628836 1 1903.5000 p90 p47 268 N p90->p47
6484.4000 M71 769870 3 1518.4000 p20 p21 274 N p20->p80->p53->p21
6534.5000 M39 983915 1 3820.5000 p60 p20 236 N p60->p20
6542.4000 M44 568074 3 3469.4000 p90 p23 242 N p90->p19->p79->p23
6806.1000 M24 559729 2 5148.1000 p70 p66 214 N p70->p82->p66
6953.5000 M70 766484 1 2060.5000 p92 p3 265 N p92->p3
6956.5000 M43 596711 1 3955.5000 p72 p43 234 N p72->p43
6989.3000 M88 607095 3 840.3000 p76 p25 285 N p76->p55->p66->p25
7055.0000 M73 817551 4 1951.0000 p66 p47 267 N p66->p18->p89->p64->p47
7427.5000 M102 825032 1 291.5000 p55 p1 295 N p55->p1
7452.9000 M91 920835 2 1086.9000 p58 p92 281 N p58->p8->p92
7542.9000 M57 601479 2 3555.9000 p0 p18 240 N p0->p66->p18
7552.3000 M97 595414 1 761.3000 p72 p3 287 N p72->p3
7566.0000 M83 619743 3 1767.0000 p36 p53 270 N p36->p5->p89->p53
7585.0000 M81 660867 3 1923.0000 p63 p42 267 N p63->p89->p36->p42
7621.3000 M67 922010 3 2941.3000 p5 p95 250 N p5->p89->p5->p95
7755.3000 M32 531670 1 5530.3000 p72 p58 207 N p72->p58
7758.4000 M68 649807 4 3011.4000 p22 p9 249 N p22->p54->p94->p38->p9
7898.3000 M74 766315 3 2722.3000 p17 p92 254 N p17->p75->p82->p92
7925.7000 M90 663625 2 1632.7000 p83 p62 272 N p83->p81->p62
7929.9000 M76 892737 2 2617.9000 p91 p38 256 N p91->p23->p38
7975.7000 M48 884863 4 4618.7000 p83 p32 223 N p83->p65->p53->p89->p32
8160.2000 M103 602605 1 957.2000 p78 p71 284 N p78->p71
8196.3000 M51 797770 2 4628.3000 p20 p61 222 N p20->p10->p61
8242.1000 M96 821242 1 1519.1000 p5 p6 274 N p5->p6
8397.7000 M105 744700 1 1055.7000 p59 p72 282 N p59->p72
8739.1000 M110 839088 4 1049.1000 p29 p79 282 N p29->p89->p32->p9->p79
8801.4000 M101 827479 2 1737.4000 p60 p82 271 N p60->p54->p82
9143.1000 M118 787394 1 896.1000 p68 p76 285 N p68->p76
9406.3000 M82 985912 7 3674.3000 p93 p53 238 N p93->p24->p45->p86->p94->p86->p50->p53
9407.3000 M115 753632 1 1370.3000 p38 p41 277 N p38->p41
9462.9000 M114 785174 2 1491.9000 p33 p34 275 N p33->p87->p34
9525.8000 M95 563385 5 2873.8000 p46 p25 252 N p46->p86->p45->p92->p52->p25
9563.0000 M111 674532 3 1802.0000 p37 p24 269 N p37->p75->p16->p24
9630.3000 M125 717958 2 894.3000 p0 p27 285 N p0->p53->p27
9643.3000 M135 610314 1 219.3000 p66 p34 296 N p66->p34
9737.4000 M127 975887 1 864.4000 p76 p18 285 N p76->p18
9785.9000 M131 516636 3 637.9000 p73 p6 289 N p73->p16->p44->p6
9855.6000 M55 928171 5 6009.6000 p37 p20 199 N p37->p72->p90->p79->p47->p20
