# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
571.5000 M14 720934 4 166.5000 c51 c43 297 N c51->c55->c49->p0->c43
616.9000 M6 661032 2 446.9000 p11 c59 292 N p11->w63->c59
751.4000 M24 559729 2 53.4000 w70 w66 299 N w70->w83->w66
810.0000 M23 555510 2 141.0000 w72 p18 297 N w72->w77->p18
1022.5000 M10 863541 3 731.5000 c52 c41 287 N c52->p28->w65->c41
1122.1000 M22 854050 1 482.1000 p24 c45 291 N p24->c45
1166.9000 M28 627290 2 348.9000 c41 p15 294 N c41->c44->p15
1238.4000 M17 790517 2 740.4000 w86 p25 287 N w86->w78->p25
1266.5000 M30 678625 2 385.5000 c30 c51 293 N c30->c58->c51
1282.9000 M1 618834 2 1250.9000 c42 t94 279 N c42->c39->t94
1331.6000 M18 640222 1 808.6000 p26 w75 286 N p26->w75
1367.4000 M13 693107 1 988.4000 w71 p0 283 N w71->p0
1431.5000 M7 612010 1 1228.5000 p9 p15 279 N p9->p15
1470.8000 M46 636051 3 92.8000 t91 c31 298 N t91->t90->p14->c31
1523.1000 M43 596711 4 242.1000 w72 c43 295 N w72->w64->p18->p19->c43
1534.6000 M47 734776 2 123.6000 p8 w62 297 N p8->w83->w62
1578.9000 M9 587686 4 1313.9000 w81 p17 278 N w81->w67->w73->w69->p17
1634.6000 M45 506581 2 289.6000 c39 w86 295 N c39->p8->w86
1812.1000 M51 797770 4 284.1000 p20 w61 295 N p20->t94->t92->p27->w61
1868.2000 M42 889225 4 619.2000 w84 c36 289 N w84->w78->c47->p14->c36
1900.5000 M52 891919 3 340.5000 w74 p24 294 N w74->w65->w66->p24
1933.8000 M25 982211 1 1203.8000 w61 w74 279 N w61->w74
2008.8000 M29 639593 3 1156.8000 w70 w61 280 N w70->w68->p1->w61
2014.2000 M21 519301 3 1405.2000 w69 t93 276 N w69->c45->p24->t93
2023.9000 M4 523257 2 1911.9000 p25 w67 268 N p25->p24->w67
2118.9000 M38 698725 1 997.9000 w72 w82 283 N w72->w82
2122.3000 M33 729461 2 1146.3000 p10 w87 280 N p10->c55->w87
2127.0000 M12 545086 1 1782.0000 c39 c55 270 N c39->c55
2157.8000 M35 998232 4 1122.8000 w75 p11 281 N w75->w69->c30->c33->p11
2182.9000 M32 531670 3 1237.9000 w72 c58 279 N w72->t94->p19->c58
2211.4000 M5 874671 3 2067.4000 c42 p17 265 N c42->p16->w65->p17
2445.9000 M77 598670 3 145.9000 w87 w79 297 N w87->w64->c32->w79
2464.9000 M15 991397 3 2033.9000 w88 w83 266 N w88->w79->p27->w83
2526.5000 M37 737538 3 1434.5000 p16 w84 276 N p16->p28->c45->w84
2583.6000 M66 762094 2 608.6000 p29 w79 289 N p29->c52->w79
2605.1000 M79 884910 1 241.1000 c37 w84 295 N c37->w84
2633.5000 M56 782957 2 956.5000 w66 p22 284 N w66->p7->p22
2713.3000 M19 580040 4 2156.3000 c47 p16 264 N c47->w86->w68->c50->p16
2726.2000 M83 619743 2 247.2000 c36 c53 295 N c36->c35->c53
2734.0000 M81 660867 3 312.0000 w63 c42 294 N w63->w60->p1->c42
2744.1000 M69 580609 3 683.1000 w67 p14 288 N w67->w79->p2->p14
2780.8000 M73 817551 4 596.8000 w66 c47 290 N w66->w84->w82->w73->c47
2799.5000 M44 568074 2 1486.5000 t90 p23 275 N t90->p14->p23
2834.9000 M11 562047 3 2514.9000 p8 p13 258 N p8->c38->c52->p13
2860.3000 M71 769870 4 734.3000 p20 p21 287 N p20->w85->c55->p17->p21
2930.7000 M86 667043 1 363.7000 w63 w62 293 N w63->w62
2931.9000 M61 640531 3 1103.9000 p9 w87 281 N p9->p1->c31->w87
2939.9000 M20 773543 2 2357.9000 c32 w63 260 N c32->c36->w63
2997.4000 M41 838158 1 1781.4000 w66 w85 270 N w66->w85
3002.3000 M93 592981 3 211.3000 t95 p29 296 N t95->t94->c39->p29
3049.0000 M88 607095 2 420.0000 w76 p25 293 N w76->w85->p25
3128.6000 M57 601479 3 1421.6000 p0 p18 276 N p0->p27->p26->p18
3141.4000 M89 616020 2 479.4000 c37 w68 292 N c37->w79->w68
