# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
1607.5000 M15 991397 2 576.5000 p88 p83 290 N p88->p47->p83
1710.4000 M16 875016 2 606.4000 p85 p45 289 N p85->p94->p45
1785.6000 M22 854050 3 265.6000 p24 p45 295 N p24->p1->p36->p45
1905.0000 M17 790517 2 727.0000 p86 p25 287 N p86->p52->p25
1906.1000 M25 982211 1 176.1000 p61 p74 297 N p61->p74
1997.8000 M26 546679 1 200.8000 p31 p56 296 N p31->p56
2050.9000 M21 519301 3 601.9000 p69 p93 289 N p69->p13->p66->p93
2175.1000 M18 640222 2 932.1000 p26 p75 284 N p26->p42->p75
2187.2000 M20 773543 2 805.2000 p32 p63 286 N p32->p30->p63
2190.7000 M28 627290 1 252.7000 p41 p15 295 N p41->p15
2291.2000 M31 948641 2 138.2000 p29 p1 297 N p29->p83->p1
2409.2000 M24 559729 2 751.2000 p70 p66 287 N p70->p54->p66
2443.0000 M35 998232 1 8.0000 p75 p11 299 N p75->p11
2602.8000 M37 737538 1 30.8000 p16 p84 299 N p16->p84
2652.1000 M23 555510 3 1063.1000 p72 p18 282 N p72->p37->p40->p18
2783.3000 M32 531670 2 558.3000 p72 p58 290 N p72->p12->p58
2964.4000 M27 707738 4 1099.4000 p26 p41 281 N p26->p49->p71->p86->p41
3067.5000 M33 729461 3 771.5000 p10 p87 287 N p10->p49->p88->p87
3316.4000 M19 580040 6 1999.4000 p47 p16 266 N p47->p59->p5->p57->p71->p57->p16
3317.7000 M29 639593 3 1305.7000 p70 p61 278 N p70->p56->p88->p61
3469.7000 M38 698725 3 828.7000 p72 p82 286 N p72->p24->p76->p82
3546.2000 M40 572441 3 762.2000 p65 p40 287 N p65->p87->p14->p40
4079.7000 M43 596711 3 1078.7000 p72 p43 282 N p72->p57->p78->p43
4107.8000 M52 891919 2 467.8000 p74 p24 292 N p74->p81->p24
4219.9000 M47 734776 1 928.9000 p8 p62 284 N p8->p62
4226.4000 M42 889225 3 1297.4000 p84 p36 278 N p84->p95->p43->p36
4419.1000 M30 678625 6 2338.1000 p30 p51 261 N p30->p63->p74->p43->p48->p32->p51
4462.9000 M39 983915 3 1748.9000 p60 p20 270 N p60->p95->p51->p20
4493.0000 M54 953264 2 716.0000 p91 p45 288 N p91->p38->p45
4702.4000 M59 720977 2 573.4000 p20 p70 290 N p20->p51->p70
4705.2000 M64 679024 2 228.2000 p94 p70 296 N p94->p51->p70
4757.6000 M46 636051 6 1539.6000 p91 p31 274 N p91->p51->p75->p81->p3->p82->p31
4816.4000 M65 628836 1 270.4000 p90 p47 295 N p90->p47
4975.0000 M69 580609 1 154.0000 p67 p14 297 N p67->p14
4991.0000 M49 955987 5 1566.0000 p8 p23 273 N p8->p85->p79->p16->p42->p23
