# time totalContactTime
1.1000 26.0000
2.1000 52.0000
3.1000 78.0000
4.1000 104.0000
5.2000 132.6000
6.3000 161.2000
7.4000 190.4000
8.5000 219.3000
9.6000 247.9000
10.7000 276.5000
11.8000 305.0000
12.9000 332.5000
14.0000 360.0000
15.1000 387.5000
16.2000 415.0000
17.2000 440.0000
18.2000 465.1000
19.2000 491.1000
20.2000 517.1000
21.2000 543.1000
22.2000 569.1000
23.2000 595.1000
24.2000 620.5000
25.2000 643.9000
26.2000 667.8000
27.2000 693.6000
28.2000 719.5000
29.2000 744.4000
30.2000 768.8000
31.2000 793.8000
32.2000 818.6000
33.2000 842.6000
34.2000 865.1000
35.2000 887.5000
36.2000 911.5000
37.2000 935.5000
38.2000 959.5000
39.2000 983.7000
40.2000 1009.7000
41.2000 1035.7000
42.2000 1061.7000
43.2000 1087.7000
44.2000 1113.7000
45.2000 1138.4000
46.2000 1163.4000
47.2000 1189.0000
48.2000 1217.4000
49.2000 1250.2000
50.2000 1283.8000
51.2000 1315.2000
52.2000 1345.0000
53.2000 1375.8000
54.2000 1406.8000
55.2000 1436.9000
56.2000 1466.7000
57.2000 1495.7000
58.2000 1524.7000
59.2000 1553.9000
60.2000 1583.6000
61.2000 1612.6000
62.2000 1641.2000
63.2000 1668.5000
64.2000 1693.9000
65.3000 1719.1000
66.4000 1741.0000
67.5000 1762.8000
68.6000 1786.0000
69.7000 1808.7000
70.8000 1830.9000
71.9000 1852.9000
73.0000 1872.4000
74.1000 1893.1000
75.2000 1913.9000
76.3000 1933.1000
77.4000 1950.7000
78.5000 1968.3000
79.6000 1987.7000
80.7000 2008.3000
81.8000 2028.1000
82.9000 2049.0000
84.0000 2072.3000
85.1000 2095.4000
86.2000 2119.2000
87.3000 2144.9000
88.4000 2171.7000
89.5000 2198.1000
90.6000 2224.1000
91.7000 2250.5000
92.8000 2278.4000
93.9000 2307.1000
95.0000 2337.9000
96.1000 2368.9000
97.2000 2401.2000
98.3000 2434.2000
99.4000 2470.8000
100.5000 2506.6000
101.6000 2543.0000
102.7000 2577.6000
103.8000 2610.7000
104.9000 2645.8000
106.0000 2679.5000
107.1000 2712.1000
108.2000 2744.8000
109.3000 2778.3000
110.4000 2812.4000
111.5000 2845.6000
112.6000 2878.4000
113.7000 2909.0000
114.8000 2938.0000
115.9000 2966.9000
117.0000 2998.7000
118.1000 3031.6000
119.2000 3064.3000
120.3000 3096.3000
121.4000 3126.2000
122.5000 3156.4000
123.6000 3188.2000
124.7000 3222.4000
125.8000 3259.2000
126.9000 3296.5000
128.0000 3333.2000
129.1000 3368.7000
130.2000 3406.5000
131.3000 3443.5000
132.4000 3477.2000
133.5000 3510.2000
134.6000 3545.4000
135.7000 3583.8000
136.8000 3623.0000
137.9000 3663.5000
139.0000 3704.8000
140.1000 3742.4000
141.2000 3783.3000
142.3000 3825.4000
143.4000 3866.2000
144.5000 3905.8000
145.6000 3944.7000
146.7000 3983.9000
147.8000 4026.3000
148.9000 4065.9000
150.0000 4105.3000
151.1000 4145.3000
152.2000 4187.1000
153.3000 4228.9000
154.4000 4268.9000
155.5000 4307.3000
156.6000 4347.7000
157.7000 4384.4000
158.8000 4422.7000
159.9000 4459.9000
161.0000 4495.4000
162.1000 4532.0000
163.2000 4571.0000
164.3000 4612.5000
165.4000 4655.3000
166.5000 4697.1000
167.6000 4737.1000
168.7000 4779.3000
169.8000 4823.2000
170.9000 4865.9000
172.0000 4909.0000
173.1000 4953.9000
174.2000 4997.5000
175.3000 5039.6000
176.4000 5082.4000
177.5000 5125.7000
178.6000 5172.8000
179.7000 5220.8000
180.8000 5268.1000
181.9000 5315.7000
183.0000 5366.0000
184.1000 5415.7000
185.2000 5463.0000
186.3000 5510.9000
187.4000 5560.8000
188.5000 5613.0000
189.6000 5665.9000
190.7000 5718.6000
191.8000 5773.5000
192.9000 5826.4000
194.0000 5876.2000
195.1000 5925.4000
196.2000 5972.3000
197.3000 6019.3000
198.4000 6067.0000
199.5000 6115.3000
200.6000 6163.9000
201.7000 6212.2000
202.8000 6259.6000
203.9000 6302.3000
205.0000 6343.7000
206.1000 6384.8000
207.2000 6428.8000
208.3000 6472.5000
209.4000 6516.8000
210.5000 6561.2000
211.6000 6606.6000
212.7000 6652.9000
213.8000 6700.9000
214.9000 6752.2000
216.0000 6803.0000
217.1000 6851.3000
218.2000 6901.4000
219.3000 6953.7000
220.4000 7006.0000
221.5000 7059.1000
222.6000 7114.5000
223.7000 7171.1000
224.8000 7226.2000
225.9000 7279.0000
227.0000 7331.1000
228.1000 7383.7000
229.2000 7437.3000
230.3000 7492.2000
231.4000 7549.3000
232.5000 7605.3000
233.6000 7659.9000
234.7000 7712.8000
235.8000 7766.7000
236.9000 7821.2000
238.0000 7875.5000
239.1000 7930.2000
240.2000 7982.9000
241.3000 8034.7000
242.4000 8085.1000
243.5000 8133.2000
244.6000 8180.6000
245.7000 8226.2000
246.8000 8268.1000
247.9000 8308.6000
249.0000 8344.3000
250.1000 8379.9000
251.2000 8415.4000
252.3000 8449.9000
253.4000 8481.8000
254.5000 8512.7000
255.6000 8544.8000
256.6000 8575.8000
257.6000 8607.7000
258.6000 8639.4000
259.6000 8669.6000
260.6000 8698.9000
261.6000 8729.9000
262.6000 8761.1000
263.6000 8793.5000
264.6000 8827.4000
265.6000 8861.9000
266.6000 8898.3000
267.6000 8935.7000
268.6000 8974.1000
269.6000 9012.4000
270.6000 9053.3000
271.6000 9094.3000
272.6000 9134.7000
273.6000 9175.1000
274.6000 9214.9000
275.6000 9254.9000
276.6000 9295.5000
277.6000 9335.6000
278.6000 9376.6000
279.6000 9416.6000
280.6000 9458.5000
281.6000 9501.8000
282.6000 9546.7000
283.6000 9594.3000
284.6000 9640.2000
285.6000 9684.3000
286.6000 9728.6000
287.6000 9773.1000
288.6000 9817.2000
289.6000 9861.5000
290.6000 9905.2000
291.6000 9949.6000
292.6000 9995.8000
293.6000 10041.3000
294.6000 10085.8000
295.6000 10130.4000
296.6000 10172.8000
297.6000 10215.8000
298.6000 10259.9000
299.6000 10304.7000
300.6000 10347.6000
301.6000 10389.2000
302.6000 10429.3000
303.6000 10468.6000
304.6000 10506.1000
305.6000 10543.8000
306.6000 10582.9000
307.6000 10622.9000
308.6000 10661.6000
309.6000 10699.9000
310.6000 10737.0000
311.6000 10776.2000
312.6000 10815.6000
313.6000 10855.5000
314.6000 10896.7000
315.6000 10937.9000
316.6000 10980.0000
317.6000 11023.9000
318.6000 11068.4000
319.6000 11113.9000
320.6000 11158.2000
321.6000 11200.7000
322.6000 11242.4000
323.6000 11283.3000
324.6000 11322.7000
325.6000 11363.2000
326.6000 11403.9000
327.6000 11445.7000
328.6000 11487.6000
329.6000 11530.4000
330.6000 11572.1000
331.6000 11614.6000
332.6000 11658.6000
333.6000 11702.9000
334.6000 11747.1000
335.6000 11793.2000
336.6000 11839.0000
337.6000 11882.4000
338.6000 11926.7000
339.6000 11970.4000
340.6000 12012.2000
341.6000 12055.0000
342.6000 12096.4000
343.6000 12136.4000
344.6000 12174.4000
345.6000 12212.3000
346.6000 12253.2000
347.6000 12294.4000
348.6000 12336.8000
349.6000 12380.6000
350.6000 12425.4000
351.6000 12471.4000
352.6000 12519.7000
353.6000 12566.6000
354.6000 12612.1000
355.6000 12657.6000
356.6000 12704.3000
357.6000 12750.7000
358.6000 12797.4000
359.6000 12843.6000
360.6000 12891.2000
361.6000 12938.5000
362.6000 12986.5000
363.6000 13033.8000
364.6000 13081.4000
365.6000 13127.7000
366.6000 13172.3000
367.6000 13213.1000
368.6000 13254.0000
369.6000 13296.0000
370.6000 13341.0000
371.6000 13382.6000
372.6000 13424.2000
373.6000 13465.8000
374.6000 13505.4000
375.6000 13543.5000
376.6000 13581.1000
377.6000 13619.1000
378.6000 13656.0000
379.6000 13691.7000
380.6000 13727.2000
381.6000 13763.8000
382.6000 13801.7000
383.6000 13837.9000
384.6000 13871.2000
385.6000 13903.5000
386.6000 13937.0000
387.6000 13971.8000
388.6000 14003.1000
389.6000 14033.9000
390.6000 14064.9000
391.6000 14096.3000
392.6000 14128.3000
393.6000 14162.2000
394.6000 14197.0000
395.6000 14230.7000
396.6000 14264.9000
397.6000 14298.3000
398.6000 14330.5000
399.6000 14364.9000
400.6000 14399.9000
401.6000 14435.3000
402.6000 14472.5000
403.6000 14512.7000
404.6000 14554.7000
405.6000 14598.0000
406.6000 14641.4000
407.6000 14684.3000
408.6000 14727.1000
409.6000 14362.4000
410.6000 14405.8000
411.6000 14448.6000
412.6000 14490.6000
413.6000 14531.3000
414.6000 14572.3000
415.6000 14611.8000
416.6000 14652.9000
417.6000 14692.4000
418.6000 14730.8000
419.6000 14767.3000
420.6000 14800.2000
421.6000 14832.6000
422.6000 14864.6000
423.6000 14897.7000
424.6000 14932.2000
425.6000 14967.7000
426.6000 15006.0000
427.6000 15044.5000
428.6000 15082.7000
429.6000 15120.6000
430.6000 15156.6000
431.6000 15192.6000
432.6000 15229.3000
433.6000 15265.0000
434.6000 15300.0000
435.6000 15334.2000
436.6000 15368.2000
437.6000 15401.2000
438.6000 15432.7000
439.6000 15463.6000
440.6000 15492.1000
441.6000 15520.0000
442.6000 15547.5000
443.6000 15577.8000
444.6000 15607.3000
445.6000 15636.3000
446.6000 15667.6000
447.6000 15698.4000
448.6000 15729.3000
449.6000 15762.0000
450.6000 15796.7000
451.6000 15831.5000
452.6000 15866.4000
453.6000 15901.2000
454.6000 15936.3000
455.6000 15972.5000
456.6000 16007.7000
457.6000 16042.4000
458.6000 16077.9000
459.6000 16112.8000
460.6000 16147.8000
461.6000 16183.4000
462.6000 16218.5000
463.6000 16253.9000
464.6000 16290.8000
465.6000 16328.4000
466.6000 16367.9000
467.6000 16405.9000
468.6000 16443.2000
469.6000 16479.7000
470.6000 16514.7000
471.6000 16551.6000
472.6000 16587.9000
473.6000 16621.8000
474.6000 16654.3000
475.6000 16684.3000
476.6000 16714.5000
477.6000 16745.2000
478.6000 16775.0000
479.6000 16803.2000
480.6000 16830.7000
481.6000 16859.2000
482.6000 16888.2000
483.6000 16916.0000
484.6000 16943.9000
485.6000 16973.5000
486.6000 17003.2000
487.6000 17033.2000
488.6000 17062.9000
489.6000 17091.7000
490.6000 17120.5000
491.6000 17148.9000
492.6000 17176.9000
493.6000 17205.1000
494.6000 17234.6000
495.6000 17262.3000
496.6000 17288.1000
497.6000 17312.9000
498.6000 17335.3000
499.6000 17357.5000
