# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
1743.9000 M22 854050 2 223.9000 p24 p45 296 N p24->p95->p45
1783.8000 M16 875016 2 679.8000 p85 p45 288 N p85->p36->p45
1840.8000 M19 580040 4 523.8000 p47 p16 291 N p47->p88->p40->p85->p16
1902.3000 M25 982211 1 172.3000 p61 p74 297 N p61->p74
1956.7000 M17 790517 3 778.7000 p86 p25 287 N p86->p79->p31->p25
1997.0000 M26 546679 1 200.0000 p31 p56 296 N p31->p56
2050.9000 M21 519301 4 601.9000 p69 p93 289 N p69->p36->p13->p66->p93
2187.3000 M28 627290 1 249.3000 p41 p15 295 N p41->p15
2280.0000 M18 640222 1 1037.0000 p26 p75 282 N p26->p75
2296.6000 M31 948641 1 143.6000 p29 p1 297 N p29->p1
2443.0000 M35 998232 1 8.0000 p75 p11 299 N p75->p11
2602.4000 M37 737538 1 30.4000 p16 p84 299 N p16->p84
2626.3000 M29 639593 1 614.3000 p70 p61 289 N p70->p61
2964.4000 M27 707738 4 1099.4000 p26 p41 281 N p26->p49->p71->p86->p41
3018.1000 M20 773543 4 1636.1000 p32 p63 272 N p32->p43->p35->p54->p63
3062.0000 M33 729461 4 766.0000 p10 p87 287 N p10->p7->p68->p88->p87
3259.4000 M39 983915 3 545.4000 p60 p20 290 N p60->p6->p81->p20
3416.8000 M15 991397 2 2385.8000 p88 p83 260 N p88->p60->p83
3564.3000 M24 559729 2 1906.3000 p70 p66 268 N p70->p1->p66
3568.1000 M48 884863 3 211.1000 p83 p32 296 N p83->p60->p52->p32
3664.7000 M30 678625 3 1583.7000 p30 p51 273 N p30->p63->p18->p51
3721.5000 M38 698725 2 1080.5000 p72 p82 281 N p72->p24->p82
3816.4000 M34 844772 3 1449.4000 p38 p36 275 N p38->p2->p30->p36
3889.4000 M46 636051 3 671.4000 p91 p31 288 N p91->p16->p62->p31
3897.4000 M44 568074 2 824.4000 p90 p23 286 N p90->p30->p23
3928.7000 M36 612761 2 1428.7000 p38 p91 276 N p38->p69->p91
4216.1000 M52 891919 1 576.1000 p74 p24 290 N p74->p24
4218.4000 M47 734776 1 927.4000 p8 p62 284 N p8->p62
4280.1000 M53 883685 2 574.1000 p77 p22 290 N p77->p84->p22
