# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
427.5000 M2 977273 1 289.5000 w73 t94 295 N w73->t94
768.8000 M1 618834 1 696.8000 c42 t94 288 N c42->t94
1191.8000 M9 587686 1 566.8000 w81 p17 290 N w81->p17
1348.8000 M13 693107 1 449.8000 w71 p0 292 N w71->p0
1851.4000 M5 874671 1 1507.4000 c42 p17 274 N c42->p17
2156.0000 M18 640222 1 913.0000 p26 w75 284 N p26->w75
2158.9000 M17 790517 1 980.9000 w86 p25 283 N w86->p25
2199.3000 M22 854050 1 679.3000 p24 c45 288 N p24->c45
2271.8000 M6 661032 1 1861.8000 p11 c59 268 N p11->c59
2758.0000 M35 998232 1 323.0000 w75 p11 294 N w75->p11
2786.6000 M31 948641 1 633.6000 p29 p1 289 N p29->p1
2981.5000 M19 580040 1 1664.5000 c47 p16 272 N c47->p16
3319.3000 M46 636051 1 101.3000 t91 c31 298 N t91->c31
3414.4000 M15 991397 1 2383.4000 w88 w83 260 N w88->w83
3447.9000 M42 889225 1 518.9000 w84 c36 291 N w84->c36
3499.7000 M30 678625 1 1418.7000 c30 c51 276 N c30->c51
3586.6000 M27 707738 1 1721.6000 p26 c41 271 N p26->c41
3675.8000 M12 545086 1 2850.8000 c39 c55 252 N c39->c55
3809.1000 M8 913877 1 3256.1000 c51 w69 245 N c51->w69
3953.4000 M32 531670 1 1728.4000 w72 c58 271 N w72->c58
4033.0000 M26 546679 1 2236.0000 c31 c56 262 N c31->c56
4155.9000 M43 596711 1 1154.9000 w72 c43 280 N w72->c43
4156.8000 M24 559729 1 2498.8000 w70 w66 258 N w70->w66
4160.0000 M44 568074 1 1087.0000 t90 p23 281 N t90->p23
4233.4000 M23 555510 1 2644.4000 w72 p18 255 N w72->p18
4274.8000 M48 884863 1 917.8000 w83 c32 284 N w83->c32
4413.8000 M58 837610 1 354.8000 w85 p12 294 N w85->p12
4428.3000 M20 773543 1 3046.3000 c32 w63 249 N c32->w63
4435.9000 M28 627290 1 2497.9000 c41 p15 258 N c41->p15
4518.4000 M63 895682 1 108.4000 p10 w73 298 N p10->w73
4574.6000 M40 572441 1 1790.6000 w65 c40 270 N w65->c40
4588.7000 M33 729461 1 2292.7000 p10 w87 261 N p10->w87
4611.4000 M56 782957 1 694.4000 w66 p22 288 N w66->p22
4678.1000 M55 928171 1 832.1000 c37 p20 286 N c37->p20
4719.6000 M49 955987 1 1294.6000 p8 p23 278 N p8->p23
4820.8000 M68 649807 1 73.8000 p22 p9 298 N p22->p9
5038.5000 M14 720934 1 4073.5000 c51 c43 232 N c51->c43
5047.2000 M7 612010 1 4564.2000 p9 p15 223 N p9->p15
5148.6000 M51 797770 2 1580.6000 p20 w61 273 N p20->c41->w61
5211.0000 M37 737538 2 2639.0000 p16 w84 256 N p16->p13->w84
5241.8000 M60 686270 3 1038.8000 p17 c46 282 N p17->c39->w64->c46
5278.8000 M10 863541 2 4587.8000 c52 c41 223 N c52->c34->c41
5281.0000 M25 982211 4 3551.0000 w61 w74 240 N w61->c54->c44->p0->w74
5313.1000 M67 922010 1 633.1000 p5 t95 289 N p5->t95
5348.7000 M72 625366 3 314.7000 p13 c45 294 N p13->p16->c46->c45
5362.3000 M11 562047 1 4602.3000 p8 p13 223 N p8->p13
5411.0000 M21 519301 1 3962.0000 w69 t93 233 N w69->t93
5427.7000 M53 883685 3 1721.7000 w77 p22 271 N w77->w88->c57->p22
5429.4000 M45 506581 3 2284.4000 c39 w86 261 N c39->w64->p14->w86
5444.3000 M70 766484 6 551.3000 t92 p3 290 N t92->w68->c36->p6->c43->c57->p3
5450.3000 M3 968122 4 5246.3000 w65 p11 212 N w65->c56->p5->c42->p11
5454.1000 M59 720977 4 1325.1000 p20 w70 277 N p20->c41->c58->t91->w70
5454.3000 M50 976458 3 1956.3000 p13 c42 267 N p13->p10->p11->c42
5480.1000 M61 640531 1 1212.1000 p9 w87 279 N p9->w87
5493.4000 M29 639593 2 3481.4000 w70 w61 241 N w70->p28->w61
5503.5000 M38 698725 3 2862.5000 w72 w82 252 N w72->w78->w71->w82
5515.0000 M36 612761 2 3015.0000 c38 t91 249 N c38->c51->t91
5518.5000 M74 766315 2 342.5000 p17 t92 294 N p17->w81->t92
5536.2000 M62 745934 2 1199.2000 c48 t94 280 N c48->w89->t94
5568.8000 M73 817551 6 464.8000 w66 c47 292 N w66->p0->c44->w61->c40->c51->c47
5617.8000 M65 628836 4 1071.8000 t90 c47 282 N t90->t91->w71->w86->c47
5647.7000 M76 892737 3 335.7000 t91 c38 294 N t91->t90->p1->c38
5648.0000 M54 953264 4 1871.0000 t91 c45 268 N t91->c49->p29->w68->c45
5656.0000 M47 734776 3 2365.0000 p8 w62 260 N p8->p13->w76->w62
5661.1000 M4 523257 2 5389.1000 p25 w67 210 N p25->p18->w67
5688.4000 M41 838158 5 2832.4000 w66 w85 252 N w66->p0->w61->w84->p23->w85
5696.9000 M57 601479 5 1709.9000 p0 p18 271 N p0->c44->w66->t92->t93->p18
5704.4000 M71 769870 8 738.4000 p20 p21 287 N p20->c41->c44->w61->w84->t95->w66->c35->p21
5760.8000 M52 891919 7 2120.8000 w74 p24 264 N w74->p14->p15->c40->w84->p13->w76->p24
5922.3000 M80 626408 4 333.3000 c54 p8 294 N c54->p20->t95->t94->p8
5964.6000 M75 838158 4 723.6000 c36 c56 287 N c36->w79->w86->w62->c56
5996.8000 M66 762094 5 1381.8000 p29 w79 276 N p29->t95->w81->w67->t93->w79
6109.7000 M82 985912 5 377.7000 t93 c53 293 N t93->c33->w68->w62->c56->c53
6195.0000 M88 607095 1 46.0000 w76 p25 299 N w76->p25
